depth,2015-11-16 08:19:29.925592,2015-11-16 14:11:46.753733,2015-11-16 20:56:10.004868,2015-11-17 02:52:46.612046,2015-11-17 03:08:55.900161,2015-11-17 09:16:29.689119,2015-11-17 09:32:06.997272,2015-11-17 15:38:22.484564,2015-11-17 15:53:11.520387,2015-11-17 22:02:28.559631,2015-11-17 22:17:14.195594,2015-11-18 04:23:09.528720,2015-11-18 04:46:40.284314,2015-11-18 10:52:26.409021,2015-11-18 11:08:55.288469,2015-11-18 17:20:15.539537,2015-11-18 17:36:47.591046,2015-11-18 23:52:10.778777,2015-11-19 00:07:39.601047,2015-11-19 06:14:48.319754,2015-11-19 06:34:02.131077,2015-11-19 12:40:34.048354,2015-11-19 12:57:02.670109,2015-11-19 19:17:22.750335,2015-11-20 02:04:16.941810,2015-11-20 08:16:58.129051,2015-11-20 08:44:55.150834,2015-11-20 14:57:26.102192,2015-11-20 15:15:25.502312,2015-11-20 21:21:49.953647,2015-11-20 21:36:37.895561,2015-11-21 03:50:07.765480,2015-11-21 04:05:27.305624,2015-11-21 10:12:06.206890,2015-11-21 16:54:35.898713,2015-11-21 23:05:00.933072,2015-11-21 23:20:11.940613,2015-11-22 05:37:35.630627,2015-11-22 05:53:44.023926,2015-11-22 12:09:20.114262,2015-11-22 12:24:27.211957,2015-11-22 18:36:49.777533,2015-11-23 01:11:32.994910,2015-11-23 07:21:32.641536,2015-11-23 07:41:44.345706,2015-11-23 13:40:17.570619,2015-11-23 13:55:08.717445,2015-11-23 20:09:47.971416,2015-11-23 20:25:20.904819,2015-11-24 02:23:19.383239,2015-11-24 02:39:47.807741,2015-11-24 08:43:28.781326,2015-11-24 08:59:07.061552,2015-11-24 14:24:04.204360,2015-11-24 14:41:45.301270,2015-11-24 19:50:27.379814,2015-11-24 20:04:23.803772,2015-11-25 00:47:04.855247,2015-11-25 01:00:28.569224,2015-11-25 05:33:46.394574,2015-11-25 05:52:51.319575,2015-11-25 10:25:26.209853,2015-11-25 10:47:55.029976,2015-11-25 15:25:02.534205,2015-11-25 15:39:13.320448,2015-11-25 20:35:14.850280,2015-11-25 20:49:29.459937,2015-11-26 01:25:31.496075,2015-11-26 01:39:39.647278,2015-11-26 06:24:47.153973,2015-11-26 06:38:47.334228,2015-11-26 11:20:49.925249,2015-11-26 11:35:12.184382,2015-11-26 16:19:17.962665,2015-11-26 16:33:39.935711,2015-11-26 21:33:57.681594,2015-11-26 21:47:13.906032,2015-11-27 02:24:57.090434,2015-11-27 02:38:41.130875,2015-11-27 07:40:52.156108,2015-11-27 07:55:20.540314,2015-11-27 12:34:11.745449,2015-11-27 12:48:01.011118,2015-11-27 17:14:56.626532,2015-11-27 22:37:08.081906,2015-11-28 03:17:28.212459,2015-11-28 03:31:51.319646,2015-11-28 08:09:20.178477,2015-11-28 08:23:01.420864,2015-11-28 12:59:29.798712,2015-11-28 13:13:04.433168,2015-11-28 17:47:48.287161,2015-11-28 18:01:22.926043,2015-11-28 22:33:24.029078,2015-11-28 22:47:42.920446,2015-11-29 03:28:55.693723,2015-11-29 03:42:19.593436,2015-11-29 08:25:17.629500,2015-11-29 08:39:31.041306,2015-11-29 13:17:18.913110,2015-11-29 13:37:00.661699,2015-11-29 18:20:53.875295,2015-11-29 18:34:36.849135,2015-11-30 00:46:04.119416,2015-11-30 01:01:21.941606,2015-11-30 07:21:36.200560,2015-11-30 07:37:24.792980,2015-11-30 13:46:37.945955,2015-11-30 14:01:24.461695,2015-11-30 20:08:09.687922,2015-11-30 20:24:03.042467,2015-12-01 02:26:44.953679,2015-12-01 02:41:21.746339,2015-12-01 08:40:16.886873,2015-12-01 08:55:43.112749,2015-12-01 14:58:52.830861,2015-12-01 15:14:01.734621,2015-12-01 21:22:18.321165,2015-12-01 21:37:50.977694,2015-12-02 03:53:00.799806,2015-12-02 04:08:49.759826,2015-12-02 10:26:25.090071,2015-12-02 10:41:14.142370,2015-12-02 16:46:07.320774,2015-12-02 17:01:07.574973,2015-12-02 21:37:33.312018,2015-12-02 21:51:28.542571,2015-12-03 02:28:57.551884,2015-12-03 02:43:26.174189,2015-12-03 08:50:00.089735,2015-12-03 09:04:43.498150,2015-12-03 15:11:10.147240,2015-12-03 15:25:39.771149,2015-12-03 21:34:02.002170,2015-12-03 21:49:22.660997,2015-12-04 03:50:02.336380,2015-12-04 04:04:37.737033,2015-12-04 08:44:26.242270,2015-12-04 08:58:59.005299,2015-12-04 13:47:47.195056,2015-12-04 14:02:09.293930,2015-12-04 18:40:41.400507,2015-12-04 18:54:32.957554,2015-12-04 23:39:58.387446,2015-12-04 23:57:25.911135,2015-12-05 04:42:35.930228,2015-12-05 04:58:06.457549,2015-12-05 09:30:06.163689,2015-12-05 09:44:00.918395,2015-12-05 14:20:44.057679
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8.71866256267304,,8.714240986249711,,8.70577476560632,,8.697058219868133,,8.690757547306715,,8.68485306984027,,8.683691927015335,,8.681519499499656,,8.683254369073456,,8.665473229088184,,8.681182143716283,,8.681218472725753,,8.676086777982285,,8.678103548502996,,8.677588133556359,,8.67812362103926,,8.68120137886499,,8.681789898033575,,8.677342253466279,,8.676855517874925,,8.674245791232824,,8.66394105353592,,8.65735230029337,,8.652672010101435,,8.648001815343514,,8.640558299957652,,8.64067859722032,,,,8.629490511969585,,8.62752621922477,,8.621348654522706,,8.619652775325482,,8.616173157936652,,8.61907132416849,,8.622005413216002,,8.621094883425183,,8.624970789147413,,8.615482485208146,,8.610308433036792,,8.6036570935084,,8.61926569524055,,8.616327534478641,,8.609061906014198,,8.61185261486049,,8.605481177420698,,8.617065301055423,,8.613279660462911,,8.61136662239639,,8.61157932676904,,8.610284235342135,,8.605297432394288,,8.593015889171214,,8.576695075556245,,8.559241351864058,,8.550429721415588,,8.530698298947303,,8.51641750556614,,8.50261796850044,,8.484159298862924,,8.467435252238129,,8.452095635708634,,8.429265372268862,,8.420983981792387,,8.403009889952912,,8.42223564143831,,8.440798142499933,,8.445462193719672,,8.42937691463254,,8.423116276511868,,8.412851133752946,,8.400015274514063,,8.415868667040023,,8.403565092777368,,8.41401135673817,,8.402154399982576
3,8.728220707830408,8.718605876115047,8.725632253349485,8.714192688168172,8.71690752144575,8.705698423940074,8.708628773343259,8.697010560581749,8.699443554733353,8.690728078386158,8.693484385898502,8.684814153359575,8.691312722171816,8.68362251669827,8.687307831969429,8.681471488884426,8.686955709917015,8.683224491405046,8.68575168714858,8.66544119034857,8.688271254158023,8.681164747089847,8.684456195666275,8.681198021501773,8.68496747989034,8.676066075814383,8.682186843092698,8.678067266641508,8.680422352232931,8.677555066152145,8.682548875505182,8.678097161372412,8.68188659364748,8.68115097234802,8.686559765693532,8.681742074969943,8.685340957832253,8.677283198797333,8.682223875098728,8.676838548377434,8.68090133394516,8.674214546850257,8.671924339838695,8.663900033245033,8.66739058284555,8.65731764907004,8.66076708784512,8.652648677492675,8.656664625124584,8.647949898423205,8.651257971002167,8.640506130938213,8.64484778157589,8.640592758435526,8.644128093374713,8.63294559822789,8.634725217229429,8.629453134371236,8.632549813892899,8.627466818140398,8.630331280381554,8.621306422974207,8.622656010143524,8.619625552517833,8.621438927776651,8.61614320238962,8.61929257975321,8.619040231966983,8.62176915686027,8.621956727212979,8.62403048798311,8.621054859077692,8.625113498712398,8.624928707944354,8.627925382986511,8.615442287684575,8.616852591019393,8.610279236791563,8.612415521830025,8.60362338709422,8.606283069053731,8.619245878782438,8.622219827255462,8.616296842305923,8.615925531010916,8.609027280736957,8.613192516951425,8.611823243423894,8.614023667352864,8.605446911157266,8.608472127932204,8.61703260392461,8.62064514980231,8.613246249735647,8.615816273570973,8.611346364238294,8.614206253303191,8.611557234614777,8.614510524101735,8.610240131574002,8.616407680103878,8.605233943734405,8.608568722823495,8.592992961711184,8.595960311805472,8.576655127468102,8.580944844804037,8.559209489784836,8.562849938593638,8.550401837800681,8.553025711989473,8.530664557345808,8.533085452001265,8.51638886944274,8.519696334836675,8.502589228552893,8.504851713623532,8.484129383967819,8.486003138372363,8.467401971661653,8.47021179172325,8.452074072129824,8.454755180703772,8.429243599918458,8.431191676067792,8.420951743255724,8.422896327652497,8.40297758463805,8.404735460497891,8.422229977926149,8.423768869832688,8.44078664111355,8.445123041223493,8.44542860720711,8.44786072700233,8.429353471767131,8.432177249870465,8.423083103849715,8.426544979315002,8.412788862999255,8.417193943745463,8.39998219242207,8.403383770670525,8.415851794567786,8.42034883849717,8.403530215229202,8.407836114374737,8.413978864449225,8.417426486867509,8.40210923681948
4,8.728209324216637,8.71858204921329,8.725682753101166,8.71417279375042,8.71693328037487,8.705680845472688,8.708679460456382,8.696981529106713,8.699405913145373,8.69069523522297,8.693574974312218,8.684787924997789,8.691344365808988,8.68360024598358,8.687372478475242,8.681448341218317,8.686946388117887,8.683185937000838,8.685713139197436,8.665423277065806,8.688285576127045,8.681147911947733,8.684508180243217,8.681176365882457,8.684939628522388,8.67604444543287,8.682226824021296,8.67803920844007,8.680463115379354,8.67754059461581,8.682587066270553,8.678072283178807,8.68189711240351,8.681118658151576,8.686586269311267,8.681710843872532,8.685383860752712,8.67726218685914,8.68232517198701,8.676819111571845,8.680962341917407,8.674188344743401,8.672019089518107,8.663869397871661,8.66742278998825,8.657298269408308,8.660822991775154,8.652625869207482,8.656664370479275,8.647923763511045,8.651145728716216,8.64048337282699,8.644912081705407,8.64056464065275,8.64421623209659,8.632921531438528,8.634800489215571,8.62941882366764,8.632606894812815,8.627431828907335,8.63051160674693,8.62127303764346,8.622737161076161,8.619601095554874,8.621685712487178,8.616102988382229,8.61936227485226,8.619005619310023,8.62198143887962,8.621932928401014,8.624330717801227,8.621017202458646,8.625431705233671,8.624894890237712,8.628223180500902,8.615411769793699,8.616918077542708,8.610246803033855,8.612606509317015,8.603588986867642,8.6063930871398,8.61922706286496,8.622259635095915,8.616268149634676,8.616005542712422,8.608987470080814,8.613205434584977,8.6117916599353,8.614039761984357,8.605411394400887,8.608467609373275,8.616998254749719,8.620686635174154,8.613208332526092,8.615916597561085,8.611328713288483,8.614276758796935,8.611534377886667,8.614598588807855,8.610209283154035,8.616406923079294,8.605206754973224,8.60856321795604,8.592969724014015,8.595953973175522,8.576616161321587,8.580922206610527,8.559188508110061,8.56291411227172,8.550371945537952,8.553076804531962,8.530639555859887,8.533132405516213,8.516359465592892,8.519802993467524,8.502558894677327,8.504815842460065,8.484093344338271,8.486267994803594,8.46736762091358,8.47026091482029,8.452054859764754,8.454822012699179,8.42922528800886,8.431252754668373,8.420917318771119,8.423127147872673,8.402948753627287,8.404841754947984,8.422223460437538,8.423766907879145,8.440775301507964,8.445124231571366,8.445404883001121,8.447894503472527,8.429330497123376,8.432190505439367,8.423041988740286,8.426744049978252,8.412753152801042,8.417243508791625,8.399951573357226,8.403423392672243,8.415833202226978,8.420356067085773,8.403500863431631,8.407842359418053,8.413961992972492,8.417491705033996,8.402070201331137
5,8.728205116298577,8.718558449700982,8.72562676613185,8.714151976282915,8.716951041019165,8.705661367695367,8.708661902973132,8.696951697430814,8.699378198509859,8.690655548191954,8.693567472843903,8.684761889258745,8.691303043055377,8.683576794398704,8.687327116122502,8.681417759381528,8.686921000784361,8.68314470365895,8.685682140014428,8.665404647930767,8.68829757202756,8.681129593393074,8.684496907237598,8.681151573524774,8.684917562351995,8.676020153845462,8.682173474589366,8.678020607501905,8.680467413886571,8.677525445635096,8.682569208626735,8.67803151122659,8.681874213622338,8.681085829245744,8.68656466404072,8.681675235366004,8.68534383605222,8.677236077320405,8.682330259884425,8.676800594571693,8.680946479410869,8.674167623458244,8.672004934825296,8.663824909903965,8.667377365934152,8.65727128616247,8.660760054529646,8.652597169045142,8.656635087969292,8.64789583120866,8.651079923829746,8.640459261710781,8.644882919657311,8.640539827527528,8.644275232660185,8.632893418160604,8.634756216882433,8.629388813209532,8.632629199737185,8.62740127292939,8.630565323257962,8.621240133881313,8.622727320188403,8.619574709331523,8.621758963679829,8.616066427922908,8.619444693918192,8.618976983745478,8.622066760457733,8.621908942292993,8.624465181230798,8.620983177735168,8.62559655684315,8.624861330681943,8.62831442302969,8.615382646844495,8.617020062281203,8.610219451109138,8.612651001773534,8.603555052578404,8.60640771675515,8.619209695055455,8.622265976089887,8.616234769309571,8.616048927360692,8.608951259937173,8.613182691904647,8.611762786230226,8.614023606766287,8.605372495025458,8.608437297745358,8.616960003861747,8.620683004538726,8.613180632901006,8.615922851182782,8.611309489199481,8.61427972368918,8.611510829689374,8.6146529184285,8.610182544699043,8.616384711338721,8.605178712737635,8.60854561366949,8.592945234126564,8.595917732859842,8.576567090866323,8.580895682303549,8.559166546030244,8.56287279035599,8.550339117588969,8.55304028551526,8.53061667475748,8.533160607282012,8.516328540491848,8.519826914743446,8.502526896540518,8.504795410473156,8.484061195113988,8.486358653577184,8.467332810226928,8.470271807229208,8.452031590359823,8.454873809047767,8.429205718288996,8.431332392388004,8.420884567454408,8.423264785122678,8.402921158654346,8.40491148461524,8.422216409338011,8.42375733240717,8.440762955137096,8.445119837528384,8.445383446883787,8.447849771988713,8.429310967601305,8.432170356344288,8.423002578794792,8.426825712431787,8.412715272982503,8.417249522689936,8.399926003992737,8.403464158188914,8.415806801931804,8.420356685758616,8.403467617077206,8.407780471175812,8.413945049241134,8.41749016736167,8.40201802603894
6,8.728196324712409,8.718536086601276,8.725573551120199,8.714125596148675,8.71694505241277,8.705629382448555,8.708630847734264,8.696926590955139,8.699355861374501,8.690621054230553,8.693557492837215,8.684735812499936,8.69123157569118,8.683550706371527,8.687281593180112,8.681382486441313,8.686898982735842,8.683105646752102,8.68565866408079,8.665386326912445,8.688311046669849,8.681109444745847,8.68445074913231,8.681119614979156,8.684898662347164,8.675998239358487,8.682115045638353,8.67799924016847,8.680464464213559,8.677509694064812,8.682544650454044,8.677988308659339,8.681855671950542,8.681048435018717,8.686547201245002,8.68164588330956,8.685310383881548,8.677211243185463,8.682323714938423,8.676783934212036,8.680893826437426,8.67413849636601,8.67198805448734,8.663788215706225,8.667332498626008,8.657247737624838,8.66067073629892,8.652552873514503,8.656607092255088,8.647867808707817,8.651021868768625,8.640432055744125,8.644837258603685,8.640512263613202,8.644326805209236,8.632860618562855,8.634726551866985,8.629354043896084,8.632650953680605,8.627366756521257,8.630591675983954,8.621208233423589,8.622717879364297,8.619548333947462,8.621824747195483,8.616035672045555,8.619538088050106,8.618946145535176,8.622137862084442,8.621885640968406,8.624559866937654,8.620941185365512,8.625723248078776,8.62482661177983,8.628391216368838,8.615345644027911,8.617134530533328,8.610194454197163,8.612683125488827,8.603518202883574,8.606412541644408,8.619191235992671,8.622261790958937,8.616204013562424,8.616073340890907,8.60891134806306,8.6131526606893,8.611728770755215,8.614003814257098,8.605335449853639,8.608408897803654,8.616926617128428,8.6206745549456,8.613147438275613,8.615909666578094,8.611287998378966,8.614284687231756,8.611486638452185,8.614700718854136,8.610148587117374,8.616359119244676,8.605146146335358,8.608528764887911,8.592922228377262,8.595892333284672,8.5765230690211,8.58086659907083,8.559145553411184,8.562821844351653,8.550282670354004,8.552976809387276,8.530587780346545,8.533166181505933,8.516291284505622,8.5198270529739,8.502489699189118,8.504775478749298,8.484022417880896,8.486417804159998,8.46730544205053,8.470281768379534,8.452011111578175,8.454917048555387,8.429186756959348,8.43141341327393,8.420855205196723,8.423377869313274,8.402895160323938,8.404943906815033,8.422208522940831,8.423753429202046,8.440748492918532,8.445108614153517,8.445359266989723,8.447788416661606,8.4292877614851,8.432146797570294,8.422968608794452,8.426882255568051,8.412672746437874,8.417255697149752,8.399893212027715,8.403518678331679,8.415784669778551,8.420359110458962,8.403445401658988,8.407736568434435,8.413926585316284,8.417479607303894,8.40197894992644
7,8.72818629743129,8.718513458465514,8.725509668208115,8.714101811603204,8.71692925819605,8.705590077886873,8.708602826837582,8.69689679350373,8.699331369933697,8.69058281289134,8.69354202629916,8.68470800051088,8.691153230909059,8.683525403690743,8.687248019839132,8.6813448929264,8.686870969963495,8.683057710188308,8.685633592439414,8.6653650298207,8.688321443159968,8.681088713292004,8.684402534104418,8.68106709991036,8.684879298537885,8.675976873796488,8.682063617085447,8.677976894702761,8.680437079242026,8.677493405533129,8.68252334858544,8.67794356363079,8.681827644051204,8.681016006387408,8.686514946413226,8.6816231538976,8.685277165669195,8.677183565752596,8.682299371317981,8.676766725242999,8.680842452945312,8.674109191104817,8.671952173253253,8.663760109575824,8.667272393949908,8.657228681415956,8.66061547615411,8.652505783347486,8.65657688429755,8.64784018913018,8.650981215229075,8.640403088657747,8.644784765087477,8.640483036621363,8.644383450648006,8.632827300615986,8.634695937923697,8.629321954482574,8.632666612416623,8.627328714111064,8.630625402710791,8.621172424410085,8.622704132828975,8.619521362963624,8.621891417292042,8.616006941320952,8.619615495833646,8.618913771422804,8.622203968588444,8.621862320571195,8.624646352840477,8.620902417420853,8.625850458242121,8.624792075704999,8.628450018668426,8.615310092106192,8.617261401352069,8.610171394034177,8.612701934960608,8.603482175580401,8.60640772765621,8.619170006584913,8.622251560709413,8.616168725160676,8.616079469623408,8.60887099511764,8.613114824718714,8.611690213428151,8.61397376382431,8.60529750700142,8.608356050450572,8.616895882002561,8.620655781729559,8.613115996931288,8.615893624422798,8.61126530302082,8.614284966561396,8.611460138743142,8.614744550345206,8.6101140431027,8.616325854766558,8.605114866246337,8.608503861849773,8.592889467487351,8.595864445242903,8.576482426824537,8.580825888876896,8.559118953537197,8.562774310574419,8.550221292301982,8.552909613102939,8.530555591646715,8.533171195223067,8.516250205089637,8.519803320977557,8.50245249484819,8.504739589391198,8.48399096194964,8.486452641709725,8.467275828965148,8.470284876054949,8.451990981985219,8.454961168695403,8.429169348832675,8.43146842524034,8.420824001332573,8.423479804399099,8.402866364625778,8.404960098628457,8.422200586924069,8.423750794915662,8.440735812911978,8.44509546134981,8.44533111279172,8.44771496269598,8.429265959746067,8.432115361026895,8.422930058876602,8.426935523340212,8.412627249996167,8.41725386615784,8.39986595498047,8.40355840661904,8.415760716014669,8.42035511280424,8.403420697324817,8.407719385067569,8.413907417717223,8.417469730345974,8.401930542904307
8,8.728169347716152,8.718482851768528,8.725423985480985,8.71407738570165,8.716905869809095,8.705533288686867,8.708577658023254,8.696870567211754,8.699302023714512,8.690546066451457,8.69352273263654,8.68467958315737,8.69109356903198,8.683476482200184,8.687221735355795,8.681318191698864,8.68684221336327,8.683016676449824,8.685606124507483,8.66533751897176,8.688321090095911,8.681069043203088,8.68437455079434,8.680973554154994,8.684858680198927,8.675953947741313,8.682028097329857,8.677954050520201,8.680396840525672,8.677476841717665,8.68249964797492,8.677890767615878,8.681788005483329,8.680987654628334,8.686480294557098,8.681598623055338,8.685242383146822,8.677158797301217,8.682276477605246,8.676745076997781,8.680762400272968,8.674078828417327,8.671893106073098,8.663731493600512,8.667211218941747,8.657208074907102,8.660570383566379,8.652453919127497,8.65654507084256,8.64781250608164,8.65092975281902,8.640367138093561,8.644726241636242,8.64045232831747,8.644438346250576,8.632795244248996,8.634662427927124,8.6292848269138,8.632672016615462,8.627289005779566,8.630649257677605,8.621130726287564,8.622688798394366,8.619490115320554,8.621952305674235,8.61597834618117,8.619683570891608,8.61888051156967,8.62226056824913,8.621839404838477,8.624733672105549,8.620864913792865,8.625981055978974,8.624760515251191,8.628502740871808,8.615270700920389,8.617384237331821,8.6101435779895,8.612714997278001,8.603448145263203,8.606385789547767,8.61915108390753,8.622238561057602,8.616136779403018,8.616073874002113,8.608829588247533,8.613075553587354,8.611652978264372,8.613934496664779,8.605259517917583,8.608300425940017,8.616866467575488,8.620615916879558,8.61308732455222,8.615867574438045,8.611238500056672,8.614278453557267,8.611439314076184,8.614782104169265,8.610087837036632,8.616288847893138,8.605075869196071,8.608478958811633,8.592858373046449,8.595832820422563,8.57643137221675,8.580777461509326,8.559093721169592,8.562733235407169,8.550174927768028,8.55285524482747,8.530514339058364,8.53317549461029,8.516206729913383,8.519771121113925,8.50242238183532,8.504701771319722,8.483966481957166,8.486473276858591,8.467251789777832,8.470285463473186,8.451965667794479,8.45501435417254,8.429151572587966,8.43151174446243,8.420793605285828,8.423576511932517,8.402840045241334,8.40495951133539,8.422192670348071,8.423759737316319,8.440719125546188,8.445075814138914,8.44530565337231,8.447661785954441,8.429244105046063,8.432079675873233,8.422890189250388,8.426976672311275,8.41259574264086,8.417247787608865,8.399835274927735,8.403581864663732,8.415740012822004,8.420347272836382,8.40339565786045,8.407713803372467,8.41388813348188,8.417454836189888,8.401887221589359
9,8.728149580768854,8.718446968996783,8.725353965943416,8.714053121442713,8.716881040821463,8.70547327363008,8.70858165905653,8.696848002497338,8.699278327761373,8.690503222841421,8.693480784657096,8.684651661498394,8.691041707732342,8.683423139885242,8.687195185376101,8.681283010213273,8.686810209822589,8.682972658210238,8.68557862509634,8.665312179520127,8.68831403851379,8.681045823178735,8.68434276679019,8.680946546226997,8.684840386698296,8.67593093810347,8.68198446028533,8.67793190037313,8.680350231521944,8.677459943939088,8.682470420105327,8.67785070273735,8.681756843273005,8.68096094446124,8.68645761748895,8.68154742737423,8.685210314244319,8.67712393174603,8.682242453864513,8.676724670173916,8.680707384172754,8.674047644590281,8.671825079238777,8.6637035664012,8.667144624419189,8.657186037333528,8.660512814332566,8.652407531021913,8.656507420281834,8.647789663276995,8.65090128066751,8.640332530424795,8.644679888973895,8.640420736351539,8.644486918612827,8.632767433427457,8.634622313934592,8.629247063031679,8.632668650820838,8.627249373514294,8.630671880513574,8.621088138008488,8.622669638101346,8.619452761576627,8.62200955287127,8.615951066408908,8.619728733177713,8.61885211454517,8.622312144880757,8.621813022276816,8.624799488368636,8.620828087346554,8.6260899500627,8.624726649207595,8.628549686776195,8.61523312062607,8.617503008816415,8.610117119556845,8.612721294961844,8.60341085247107,8.606363150733104,8.61913108856305,8.622221398795466,8.616102587429326,8.616061651858942,8.608776899789815,8.613029349120804,8.611614829951158,8.613886970009665,8.605226963669317,8.60824858934257,8.616836087543364,8.620580956195274,8.613057778988177,8.61583295119697,8.611207802444875,8.614264682553706,8.611415226800691,8.614804860693129,8.610062131521891,8.61624980001116,8.605024968812117,8.608445853789062,8.59283184189381,8.595797610084114,8.576389053527661,8.580714988329333,8.559063070233913,8.562695941648489,8.550131799173855,8.552976259166611,8.530478969865886,8.53317837824853,8.516172043867822,8.519735033406247,8.502388936379438,8.50465669069031,8.48394230777705,8.486474980857224,8.46721854717389,8.470282809719071,8.451940085944344,8.455069740929224,8.429129367868237,8.431549750985825,8.420765831667525,8.423667710271264,8.402815517891579,8.404944391106204,8.422183074372304,8.423768679716975,8.440695245144116,8.445055227433677,8.445281280285053,8.447596007199285,8.429221829668197,8.432041029200976,8.422855385689186,8.427006127868031,8.412565125472506,8.417239671107897,8.399807065305684,8.403588080344141,8.41571732137868,8.42032957193961,8.40337046216417,8.407711819711375,8.413867987793669,8.417430306435156,8.401850710165334
