depth,2015-11-16 08:19:29.925592,2015-11-16 14:11:46.753733,2015-11-16 20:56:10.004868,2015-11-17 02:52:46.612046,2015-11-17 03:08:55.900161,2015-11-17 09:16:29.689119,2015-11-17 09:32:06.997272,2015-11-17 15:38:22.484564,2015-11-17 15:53:11.520387,2015-11-17 22:02:28.559631,2015-11-17 22:17:14.195594,2015-11-18 04:23:09.528720,2015-11-18 04:46:40.284314,2015-11-18 10:52:26.409021,2015-11-18 11:08:55.288469,2015-11-18 17:20:15.539537,2015-11-18 17:36:47.591046,2015-11-18 23:52:10.778777,2015-11-19 00:07:39.601047,2015-11-19 06:14:48.319754,2015-11-19 06:34:02.131077,2015-11-19 12:40:34.048354,2015-11-19 12:57:02.670109,2015-11-19 19:17:22.750335,2015-11-20 02:04:16.941810,2015-11-20 08:16:58.129051,2015-11-20 08:44:55.150834,2015-11-20 14:57:26.102192,2015-11-20 15:15:25.502312,2015-11-20 21:21:49.953647,2015-11-20 21:36:37.895561,2015-11-21 03:50:07.765480,2015-11-21 04:05:27.305624,2015-11-21 10:12:06.206890,2015-11-21 16:54:35.898713,2015-11-21 23:05:00.933072,2015-11-21 23:20:11.940613,2015-11-22 05:37:35.630627,2015-11-22 05:53:44.023926,2015-11-22 12:09:20.114262,2015-11-22 12:24:27.211957,2015-11-22 18:36:49.777533,2015-11-23 01:11:32.994910,2015-11-23 07:21:32.641536,2015-11-23 07:41:44.345706,2015-11-23 13:40:17.570619,2015-11-23 13:55:08.717445,2015-11-23 20:09:47.971416,2015-11-23 20:25:20.904819,2015-11-24 02:23:19.383239,2015-11-24 02:39:47.807741,2015-11-24 08:43:28.781326,2015-11-24 08:59:07.061552,2015-11-24 14:24:04.204360,2015-11-24 14:41:45.301270,2015-11-24 19:50:27.379814,2015-11-24 20:04:23.803772,2015-11-25 00:47:04.855247,2015-11-25 01:00:28.569224,2015-11-25 05:33:46.394574,2015-11-25 05:52:51.319575,2015-11-25 10:25:26.209853,2015-11-25 10:47:55.029976,2015-11-25 15:25:02.534205,2015-11-25 15:39:13.320448,2015-11-25 20:35:14.850280,2015-11-25 20:49:29.459937,2015-11-26 01:25:31.496075,2015-11-26 01:39:39.647278,2015-11-26 06:24:47.153973,2015-11-26 06:38:47.334228,2015-11-26 11:20:49.925249,2015-11-26 11:35:12.184382,2015-11-26 16:19:17.962665,2015-11-26 16:33:39.935711,2015-11-26 21:33:57.681594,2015-11-26 21:47:13.906032,2015-11-27 02:24:57.090434,2015-11-27 02:38:41.130875,2015-11-27 07:40:52.156108,2015-11-27 07:55:20.540314,2015-11-27 12:34:11.745449,2015-11-27 12:48:01.011118,2015-11-27 17:14:56.626532,2015-11-27 22:37:08.081906,2015-11-28 03:17:28.212459,2015-11-28 03:31:51.319646,2015-11-28 08:09:20.178477,2015-11-28 08:23:01.420864,2015-11-28 12:59:29.798712,2015-11-28 13:13:04.433168,2015-11-28 17:47:48.287161,2015-11-28 18:01:22.926043,2015-11-28 22:33:24.029078,2015-11-28 22:47:42.920446,2015-11-29 03:28:55.693723,2015-11-29 03:42:19.593436,2015-11-29 08:25:17.629500,2015-11-29 08:39:31.041306,2015-11-29 13:17:18.913110,2015-11-29 13:37:00.661699,2015-11-29 18:20:53.875295,2015-11-29 18:34:36.849135,2015-11-30 00:46:04.119416,2015-11-30 01:01:21.941606,2015-11-30 07:21:36.200560,2015-11-30 07:37:24.792980,2015-11-30 13:46:37.945955,2015-11-30 14:01:24.461695,2015-11-30 20:08:09.687922,2015-11-30 20:24:03.042467,2015-12-01 02:26:44.953679,2015-12-01 02:41:21.746339,2015-12-01 08:40:16.886873,2015-12-01 08:55:43.112749,2015-12-01 14:58:52.830861,2015-12-01 15:14:01.734621,2015-12-01 21:22:18.321165,2015-12-01 21:37:50.977694,2015-12-02 03:53:00.799806,2015-12-02 04:08:49.759826,2015-12-02 10:26:25.090071,2015-12-02 10:41:14.142370,2015-12-02 16:46:07.320774,2015-12-02 17:01:07.574973,2015-12-02 21:37:33.312018,2015-12-02 21:51:28.542571,2015-12-03 02:28:57.551884,2015-12-03 02:43:26.174189,2015-12-03 08:50:00.089735,2015-12-03 09:04:43.498150,2015-12-03 15:11:10.147240,2015-12-03 15:25:39.771149,2015-12-03 21:34:02.002170,2015-12-03 21:49:22.660997,2015-12-04 03:50:02.336380,2015-12-04 04:04:37.737033,2015-12-04 08:44:26.242270,2015-12-04 08:58:59.005299,2015-12-04 13:47:47.195056,2015-12-04 14:02:09.293930,2015-12-04 18:40:41.400507,2015-12-04 18:54:32.957554,2015-12-04 23:39:58.387446,2015-12-04 23:57:25.911135,2015-12-05 04:42:35.930228,2015-12-05 04:58:06.457549,2015-12-05 09:30:06.163689,2015-12-05 09:44:00.918395,2015-12-05 14:20:44.057679
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,-43.021802829439146,,-43.014610710522696,,-43.01962489492205,,-43.019450224058225,,-43.025133573055825,,-43.029309210579484,,-43.035446644777544,,-43.0359406512091,,-43.03602854804379,,-43.03279005131517,,-43.03435933441188,,-43.031483115977856,,-43.02409275065543,,-43.0193741841115,,-43.01914171527193,,-43.02978621255611,,-43.03293756419524,,-43.035647134692574,,-43.03460841071694,,-43.036397658948836,,-43.033858304833565,,-43.03559773878078,,-43.03577311691969,,-43.04166182076141,,-43.04423117522785,,-43.0484915921537,,-43.05631131975358,,,,-43.05435092862758,,-43.05668599669654,,-43.05610634422949,,-43.062362443385204,,-43.0564724231205,,-43.06263952539395,,-43.06393600292793,,-43.059067844028874,,-43.06473437276711,,-43.05833258179222,,-43.06751761845874,,-43.054788063424915,,-43.07382766211838,,-43.061808506695286,,-43.06035245876906,,-43.071674806580695,,-43.058961357088016,,-43.07804038865543,,-43.054407363633,,-43.07300235283507,,-43.05459198528421,,-43.06656786259342,,-43.06367994105267,,-43.055389902367224,,-43.048601506077866,,-43.04439722167067,,-43.04232331618562,,-43.033596845626384,,-43.04188930892247,,-43.03652670747327,,-43.0432163847355,,-43.04054969541499,,-43.04785186606803,,-43.05146606311357,,-43.06527403971869,,-43.06167686896233,,-43.0278008314405,,-42.988264567525285,,-42.95687473495806,,-42.93975988038167,,-42.93721988287724,,-42.929764368902106,,-42.9420356224521,,-42.92506923496731,,-42.94647970163799,,-42.93259718598762,,-42.937735094300905
3,-43.022667686686205,-43.02182071579344,-43.01521188877829,-43.014626635358056,-43.013900511099514,-43.01965146662594,-43.01801512485238,-43.019469299792576,-43.01847205281871,-43.02514393432916,-43.024617718612966,-43.02932164250512,-43.02981901064539,-43.03546929246579,-43.034747641410355,-43.035954415144474,-43.03605140586235,-43.03603697076282,-43.03447202654725,-43.03280539387313,-43.03537166357585,-43.034366274467146,-43.031811992575996,-43.031492216831204,-43.02760915098715,-43.02410344945829,-43.018023968002424,-43.019394992629714,-43.01795406644681,-43.01916056990382,-43.01791863235771,-43.02979906681976,-43.028371148205935,-43.0329580165589,-43.0352561203234,-43.03566373218837,-43.03422230218626,-43.03463275396341,-43.034299913918666,-43.03640294874426,-43.034345068454314,-43.03387104959419,-43.03367932422508,-43.03561457052056,-43.03351822696224,-43.03578916450641,-43.03488050034048,-43.04167234902376,-43.04037774720058,-43.0442506797622,-43.04366571845825,-43.04851183956637,-43.04770379602741,-43.056337249448646,-43.053445373488266,-43.05292907521495,-43.052398372425955,-43.054365150431494,-43.053531369121494,-43.056703997232134,-43.05535160089005,-43.05612283172859,-43.054840383921515,-43.062371974147986,-43.06162454546101,-43.056480997546494,-43.05564231347238,-43.062653301600285,-43.06121869688035,-43.06394879299116,-43.06282033069523,-43.059078277000495,-43.05904864196051,-43.06474383447401,-43.06467232300759,-43.05833665282617,-43.05842807444324,-43.06752506854607,-43.068268049257235,-43.05478749640918,-43.05427717738804,-43.07384339603416,-43.072688023778895,-43.06180745199656,-43.06461049782356,-43.06035875749836,-43.059548285182025,-43.0716829862567,-43.070703870570675,-43.05896028461423,-43.059648204146804,-43.07805425588267,-43.077245859511876,-43.05440296521361,-43.05437048879343,-43.07301137366614,-43.072533560102,-43.05458686717486,-43.05446025326814,-43.06658732810568,-43.06735422659333,-43.06367803810816,-43.063348265789344,-43.05539301845384,-43.05588110287373,-43.04860676141802,-43.047540600030736,-43.044403701225114,-43.0441753473514,-43.04232847409829,-43.04097714134408,-43.03360907584085,-43.0332210694215,-43.04189475506283,-43.041115379452165,-43.03653584633061,-43.03610195988257,-43.04322431285839,-43.04210498024404,-43.04056321316629,-43.04058749226509,-43.047859884388416,-43.04700146956885,-43.05147449005775,-43.05118316154713,-43.06528268031703,-43.06536395175775,-43.0616782612464,-43.06180897761715,-43.02778808105556,-43.028487453311335,-42.9882552374153,-42.98903945672845,-42.956853160586995,-42.95717700777686,-42.93975063372927,-42.94046398078778,-42.937211893418,-42.938231173135605,-42.92975283399972,-42.93072391862836,-42.94203306868908,-42.943676720851236,-42.92505413508499,-42.92773137352206,-42.946480293415966,-42.94822202775966,-42.93257128436063,-42.93435602687265,-42.93773217232231
4,-43.022671409683454,-43.02182823391451,-43.01522441437223,-43.01463319494215,-43.013868728218824,-43.019657585038765,-43.01799514615634,-43.01948091970441,-43.0184728974571,-43.025155481986296,-43.024588780014135,-43.02933002119295,-43.029801138391754,-43.03547655911179,-43.0347246929026,-43.035961051238985,-43.036015601319505,-43.036047839513,-43.034460237825755,-43.03281397210007,-43.03528879301523,-43.03437299052886,-43.0317888592901,-43.03150185364394,-43.02757145895994,-43.02411462795846,-43.018006177174215,-43.01941108468155,-43.017979130918675,-43.019168821397905,-43.01794114650751,-43.0298111527943,-43.02833977258186,-43.03297112799243,-43.03523623792784,-43.03567457126827,-43.03419673499389,-43.0346414154088,-43.0343022445172,-43.03640900765822,-43.03431770503493,-43.03388173758199,-43.03363746204537,-43.03562714104654,-43.03350041954007,-43.03579813956623,-43.03485344641928,-43.041682640698085,-43.04036374433074,-43.04426049832017,-43.04364584030842,-43.04852067225816,-43.0476661691313,-43.05634574310958,-43.053465983848554,-43.05293933870246,-43.05240360619465,-43.0543782053125,-43.05352433028663,-43.05671460015196,-43.055397095691994,-43.0561358656009,-43.05487874114614,-43.062380536582666,-43.0616458733202,-43.05649250833713,-43.05561623508203,-43.062668637635724,-43.061282215535385,-43.06395504506139,-43.062831756882545,-43.05908809278669,-43.0589990503897,-43.064751438183144,-43.064582122127945,-43.05833974354815,-43.058411364064426,-43.067533344758495,-43.068193892065935,-43.054786917722005,-43.05414356272961,-43.07385833553844,-43.072640153799654,-43.06180646600824,-43.06455025548148,-43.06036599950669,-43.05951195399413,-43.07169178196891,-43.07074575564913,-43.058959173002215,-43.05961938553714,-43.078068823760695,-43.077212744341686,-43.05439797352971,-43.05422951629341,-43.073019233523674,-43.0725155706271,-43.054581571936,-43.05440213409886,-43.066600943275596,-43.06730464071511,-43.06367722317989,-43.06331470488714,-43.055396176705,-43.05588250008164,-43.0486118875796,-43.047552865344734,-43.0444079681125,-43.044164123592694,-43.042334003570744,-43.04095862198743,-43.03361813805251,-43.03324971374618,-43.04190034721268,-43.04117625793235,-43.03654549203232,-43.036131664696484,-43.04323386417425,-43.04194890612543,-43.040577165594954,-43.04051471499701,-43.04786702842049,-43.04695655839847,-43.05148157764531,-43.051151529439785,-43.0652919067949,-43.06534980318557,-43.061679503796036,-43.061829843174564,-43.02777340809535,-43.02847251581019,-42.98824603854449,-42.98902470158786,-42.95683792129049,-42.957190491273074,-42.9397415717592,-42.94045386864087,-42.937201991062594,-42.93819077415839,-42.929746219118314,-42.93068985300372,-42.942030705058755,-42.943699126084034,-42.92503749602022,-42.927688082144925,-42.94648079143684,-42.9482435839894,-42.932557835055846,-42.93434450757941,-42.937729646793684
5,-43.022686921890475,-43.02183568028722,-43.015258158812195,-43.01464005887405,-43.0138359832744,-43.019664364530975,-43.018021676519574,-43.01949285989839,-43.0184939969419,-43.02516943594756,-43.02453986973363,-43.029338338347166,-43.02979714817591,-43.03548421106046,-43.03473374082923,-43.035969818600606,-43.03599592005145,-43.03605946347403,-43.034464242821116,-43.03282289313091,-43.03523690159492,-43.03438029836996,-43.03179043397108,-43.03151288631424,-43.027543326664755,-43.02412718175988,-43.018030766720884,-43.01942175276595,-43.018008542859896,-43.01917745916255,-43.017961409402254,-43.02983096005138,-43.02830889696412,-43.03298444826848,-43.03524726497088,-43.03568692957391,-43.03419942838318,-43.03465217816385,-43.03435869054356,-43.03641477984698,-43.034270074341464,-43.03389018991158,-43.03358939300194,-43.035645395668325,-43.0335092276662,-43.03581063597865,-43.03481665226885,-43.04169559093617,-43.04035850893382,-43.04427099213507,-43.04365284116037,-43.04853003006716,-43.04760972644587,-43.05635323851824,-43.053491186486966,-43.05295132784951,-43.0524377283084,-43.05438962399293,-43.05357761057913,-43.0567238596457,-43.05545757876785,-43.05614871146538,-43.05492958140016,-43.062389774455504,-43.06169239999586,-43.05650297334224,-43.05565483344737,-43.06268132536533,-43.061336339959134,-43.063961346335255,-43.062869968116885,-43.05909696186256,-43.0589946278949,-43.0647589838486,-43.064529634183174,-43.05834269299638,-43.05838812034196,-43.06754032422542,-43.068128009789596,-43.054786346872916,-43.05405441969615,-43.07387212527071,-43.07259717895215,-43.061805318934475,-43.06444580801615,-43.060372586541106,-43.05947864478825,-43.07169982303124,-43.07077529933056,-43.05895795552017,-43.059596789654385,-43.078085046399885,-43.07717632172851,-43.05439432695935,-43.054139159561615,-43.073027793890255,-43.07247909880786,-43.05457611650384,-43.054348622102616,-43.066612744483194,-43.06728064418785,-43.063676382670444,-43.06328838333762,-43.0553995051422,-43.05588611819252,-43.04861834300577,-43.047568064746486,-43.044412434377584,-43.04417289265779,-43.04234007608661,-43.04094552772938,-43.03362643169529,-43.03328945359533,-43.04190622868058,-43.04123082365746,-43.03655566694327,-43.036160766839856,-43.04324238444483,-43.04186163049567,-43.04059130483935,-43.04045885281579,-43.047875681044694,-43.04692705225542,-43.0514891520658,-43.05107643806032,-43.06530068482896,-43.06533157071745,-43.0616806930753,-43.06179346576299,-43.02775753380557,-43.028458921752346,-42.98823602296947,-42.98900872135226,-42.95682415175284,-42.957174881263704,-42.93973386866067,-42.940438181121465,-42.937192499386846,-42.938124927437705,-42.92973920234104,-42.93065082134705,-42.942028731238665,-42.94366200646491,-42.925013869289955,-42.92764333671705,-42.94648135553786,-42.948221596833896,-42.932544328152396,-42.934275557879744,-42.937726271142466
6,-43.02269716700146,-43.021842736533685,-43.01526196951588,-43.0146487569275,-43.01381848017686,-43.01967549740963,-43.018045724015735,-43.01950290882058,-43.01851494737379,-43.025181564025395,-43.024480766229196,-43.02934666860521,-43.02978521114549,-43.03549272324613,-43.03472306354257,-43.03597993083239,-43.035989000047664,-43.03607047388314,-43.03446562819947,-43.032831666612296,-43.035189265600636,-43.0343883362919,-43.031804923664986,-43.03152710795874,-43.027542754391824,-43.02413850708469,-43.018029735859145,-43.01943400744443,-43.01804581802546,-43.019186440516435,-43.01797854085685,-43.0298519481157,-43.02828462484282,-43.03299962091631,-43.03526723659385,-43.03569711651294,-43.03419886262414,-43.03466241517776,-43.034405530252606,-43.0364199732768,-43.03418297788047,-43.033902071017486,-43.03353542198975,-43.03566045229455,-43.03352458388731,-43.035821541717716,-43.034767339017336,-43.04171557819831,-43.04035140248816,-43.04428151983638,-43.04367106229455,-43.04854058902418,-43.047553105131726,-43.056361564869725,-43.0535244252394,-43.05296531551761,-43.05246180131326,-43.054402853370426,-43.053632901943054,-43.0567343192836,-43.05549939212965,-43.05616116563263,-43.05496773494995,-43.06239900853349,-43.06174012242612,-43.05651177685346,-43.05570380330949,-43.06269498903428,-43.06138864750213,-43.063967467712985,-43.06290687471961,-43.059107907829905,-43.05899754910645,-43.06476679018614,-43.06446688959097,-43.05834644048402,-43.05836398156082,-43.06754670275717,-43.068074417399565,-43.05478572698032,-43.05397882073288,-43.0738867814387,-43.072557336607304,-43.06180426205109,-43.06436343911868,-43.06037984696214,-43.0594591193493,-43.07170929602939,-43.070808609386134,-43.058956796071435,-43.05957945783423,-43.07809920609543,-43.077143063985666,-43.05438995698911,-43.05407515376143,-43.073037363618184,-43.07243963012444,-43.05457051209805,-43.054297761210854,-43.06662773190378,-43.06724919586232,-43.063675406558225,-43.0632661696403,-43.05540263186917,-43.05587909195289,-43.04862413426593,-43.047588099590016,-43.044416703490626,-43.04417191585295,-43.04235051769933,-43.040937461134845,-43.0336369049635,-43.03331601113158,-43.0419133141833,-43.04127762674725,-43.0365674951238,-43.03619825355504,-43.04325266128746,-43.04177293101751,-43.04060242111921,-43.04041059739835,-43.04788329598811,-43.046903985631026,-43.05149649101008,-43.05099411830648,-43.06530855452472,-43.06530882336073,-43.06168181354298,-43.06174318875111,-43.02773977899249,-43.028442000806365,-42.98822429098469,-42.98899378756833,-42.95680861974409,-42.957159377651784,-42.93972471539009,-42.940432820343624,-42.93718431789296,-42.938064711174064,-42.92973132481407,-42.930613673252964,-42.94202619987191,-42.94360876104882,-42.924994062298715,-42.92759998202845,-42.94648173247363,-42.94818885431371,-42.93252960940806,-42.93421204717752,-42.93772374298552
7,-43.022705992174565,-43.02184987640718,-43.01526671469134,-43.01465659916385,-43.013807270145705,-43.019689177870454,-43.01806451966565,-43.019514835316144,-43.01853978078759,-43.02519500968138,-43.02441661639159,-43.02935555318504,-43.02975352450969,-43.03550097918344,-43.03470207676094,-43.03599070833873,-43.035988310100954,-43.036083987528265,-43.03446744398007,-43.03284186526144,-43.03513830657444,-43.03439660671352,-43.03182424577227,-43.03155047731502,-43.02754431350921,-43.02414954872713,-43.018029487958046,-43.019446823105234,-43.01810032166528,-43.019195728039186,-43.018010507568874,-43.02987368551691,-43.02825810367554,-43.033012778781604,-43.03529164537082,-43.035705004993744,-43.03419739785897,-43.034673824242994,-43.03444022693471,-43.03642533772119,-43.03412925446994,-43.03391402479952,-43.03348728298421,-43.03567198500343,-43.033527852608124,-43.03583036698087,-43.03474259429893,-43.04173682647096,-43.040353778947875,-43.044291896164516,-43.04370695409055,-43.04855183149256,-43.047530739034784,-43.056370393594264,-43.0535673876551,-43.052979524240115,-43.05248148275446,-43.05441506307268,-43.0536831222122,-43.05674584741925,-43.05554522148722,-43.056175145728055,-43.05499914585704,-43.06240845113222,-43.061789447450955,-43.056520000688316,-43.0557513223945,-43.062709333224475,-43.06144506837553,-43.0639735941012,-43.06295023644984,-43.059118013300484,-43.05900618026518,-43.06477455541607,-43.064412180897186,-43.058350041031204,-43.058347902870324,-43.06755258708328,-43.06801884583532,-43.05478512092215,-43.053907148604864,-43.0739036372114,-43.07251160523187,-43.06180304940862,-43.06429527924815,-43.06038718761902,-43.05944373619192,-43.07172003389173,-43.07084306302182,-43.05895560852688,-43.05956480064335,-43.07811224121392,-43.07710638535932,-43.05438581783293,-43.05401921545665,-43.0730474697192,-43.072394385645666,-43.054564372886496,-43.054234345886556,-43.06664297815075,-43.06720978832774,-43.06367446900066,-43.06324949741066,-43.05540708442391,-43.055874754965544,-43.04862948091898,-43.04760816161396,-43.044422112909466,-43.0441656625612,-43.04236187141487,-43.04094142654815,-43.033648572302475,-43.033345697700724,-43.041921126842226,-43.04131539810497,-43.03657932552687,-43.036244351266355,-43.04326099781974,-43.04169150607136,-43.04061444922586,-43.0403541002569,-43.04789078108727,-43.04688007811417,-43.05150322879029,-43.05093011741316,-43.06531691780931,-43.06528475331029,-43.06168305457073,-43.061692570754985,-43.02772191246979,-43.0284243350024,-42.988214004759016,-42.988978465525996,-42.956790534832365,-42.95713985822027,-42.939716116052985,-42.94041687804236,-42.93717503335029,-42.938001283799416,-42.929722897149674,-42.93057306238241,-42.942024095771615,-42.943559863249966,-42.92497262507181,-42.92754730790405,-42.94648215163958,-42.94814533941353,-42.932514329721165,-42.93415035338369,-42.93772061113486
8,-43.022716049970725,-43.02185953376239,-43.01525360206383,-43.01466465286802,-43.01380231965015,-43.01970894408569,-43.018078920912416,-43.019525332447266,-43.01856844689489,-43.02520792973072,-43.02435158430646,-43.02936463114943,-43.02972794977918,-43.035516941632736,-43.03466249744557,-43.0359983631869,-43.035988997659345,-43.03609555521973,-43.03446990610008,-43.03285503952483,-43.03508646819644,-43.03440445372367,-43.031846662409414,-43.03159210544457,-43.02755163775543,-43.02416139682661,-43.018032905360506,-43.01945992479212,-43.0181187330748,-43.0192051725254,-43.01804290248614,-43.029899334135216,-43.02822882978836,-43.03302428246252,-43.03531589319441,-43.03571351867983,-43.034206361218814,-43.034684034181126,-43.034473402841584,-43.03643208599342,-43.03410461719224,-43.033926409911736,-43.03344590700371,-43.03568372691553,-43.03351625672725,-43.03583991021502,-43.03473069554254,-43.041760228916885,-43.04036303746264,-43.04430229633787,-43.043751766250416,-43.048565784331174,-43.0475143353786,-43.05637966978518,-43.053612582949725,-43.05299319495112,-43.052501091207276,-43.05442918974284,-43.05372139398035,-43.05675788038536,-43.055587024877035,-43.05619142497383,-43.05502751423718,-43.06241939099843,-43.06183759652864,-43.0565281857136,-43.05580071739596,-43.062724069865084,-43.06149802763095,-43.06397961418197,-43.06300183728064,-43.05912778920717,-43.05902068023087,-43.0647816515954,-43.064352519059234,-43.0583540304027,-43.05833439844629,-43.067559684980985,-43.06797106288783,-43.05478454845766,-43.05383480557544,-43.07391866148115,-43.07245787083666,-43.06180195163199,-43.06423543480052,-43.060394719996715,-43.0594297309293,-43.071730403543704,-43.07087663995064,-43.05895441953536,-43.05955133201283,-43.07812471620895,-43.07707349616914,-43.0543820432025,-43.053961143750136,-43.07305940491146,-43.07234788047056,-43.054559548417075,-43.05415705895283,-43.066654544384704,-43.06717007751635,-43.06367330014274,-43.06323282518102,-43.055411310490435,-43.05587445626438,-43.04863619736883,-43.047623221876435,-43.044427244228686,-43.04415501511643,-43.04237044792899,-43.04095225004431,-43.03366352500123,-43.033379372021365,-43.04192939513708,-43.041345573407256,-43.03658890099767,-43.03628171248902,-43.043267485570674,-43.04161306045299,-43.04062421335227,-43.04028698188247,-43.04790019405594,-43.04684847902356,-43.05151010904984,-43.050871089608314,-43.06532506458204,-43.06525624727848,-43.0616841888751,-43.061636809232034,-43.0277040897145,-43.02839787264621,-42.988200467698945,-42.98895912831048,-42.95677418091766,-42.957132185845786,-42.93970749582629,-42.94039822371062,-42.93716543096289,-42.937948459463605,-42.929717060793976,-42.93052455395428,-42.94202172743335,-42.94352258222979,-42.924954096917276,-42.927501806519516,-42.94648257649179,-42.94809620330875,-42.93249895705625,-42.93410897033693,-42.93771780832066
9,-43.022726609409126,-43.021870855881616,-43.015244601487396,-43.01467265327541,-43.01379855657745,-43.01972983310209,-43.01808404715999,-43.01953436402392,-43.018591904276896,-43.02522299354526,-43.02429872485934,-43.029373550763474,-43.029717363817454,-43.03553434653981,-43.03463111196952,-43.0360084492,-43.035996143445715,-43.03610796426247,-43.0344726699534,-43.0328671739599,-43.0350240910724,-43.034413716913456,-43.031875300350265,-43.03160412405001,-43.02755782834406,-43.02417328812128,-43.01803466780937,-43.01947262843301,-43.018123765317796,-43.01921480743333,-43.01807019984787,-43.02991879789168,-43.028202954511535,-43.0330351200701,-43.03533363721923,-43.03573128667789,-43.03422242700363,-43.034698406301366,-43.034504314969354,-43.036438447285114,-43.03409739356589,-43.03393912997142,-43.03342382668675,-43.03569518620413,-43.03349572571987,-43.03585011620023,-43.03472219833887,-43.04178116040168,-43.040378102133054,-43.04431087809243,-43.043782271759376,-43.048579215976204,-43.04750018881042,-43.05638921290774,-43.05365080753053,-43.053005055113076,-43.05251614183847,-43.054443558523886,-43.053763391392096,-43.05676989030083,-43.055631764738536,-43.056208051743106,-43.05506275441234,-43.06243246862351,-43.0618919667348,-43.05653599423027,-43.05583849033588,-43.06273665190334,-43.06155350913756,-43.06398654501652,-43.06304886775794,-43.05913738859587,-43.059035990125416,-43.06478926617281,-43.06429112123633,-43.05835783637482,-43.05832119101582,-43.06756643645305,-43.06792417466509,-43.05478392111119,-43.05377696157953,-43.07393453742952,-43.0724151094724,-43.06180077666692,-43.064178598185975,-43.06040430462272,-43.05941771771858,-43.07174102749943,-43.07091101466966,-43.05895340064464,-43.059544405525926,-43.07813760072812,-43.07704497148934,-43.05437815361996,-43.053909025630674,-43.07307307436596,-43.07231137578919,-43.05455396809619,-43.05408107869033,-43.06666588969676,-43.06713986667688,-43.0636717745064,-43.063213389340866,-43.055414916357364,-43.055877208388026,-43.04864176457157,-43.04762502547111,-43.04443347748186,-43.044140554872,-43.042378425858786,-43.04090802052867,-43.033676345163585,-43.033417945769564,-43.04193599187748,-43.04136465265435,-43.036599536133636,-43.03631345827808,-43.04327389227443,-43.04153612276854,-43.040637715680056,-43.040221008447524,-43.047909706552566,-43.04681484708902,-43.05151870334169,-43.05081072359997,-43.065332508489405,-43.06522345058751,-43.061685245946926,-43.06159173916834,-43.02768248609091,-43.02837141029002,-42.98818109553192,-42.98893828880531,-42.956758524810844,-42.95712473540743,-42.93969870967014,-42.94038123810617,-42.9371570487103,-42.93789705074057,-42.92971138933462,-42.93047972951762,-42.942019549799305,-42.94347971784617,-42.92493378939392,-42.92745834121098,-42.94648300399484,-42.94804681552906,-42.93248289767359,-42.9340656649035,-42.93771544609463
